,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,0.0145,0.1555,0.0469,-0.0118,0.029,0.0083,0.0011,0.0177,0.0704,0.0213
192608,0.0397,0.0368,0.0281,0.0347,0.0266,0.0217,-0.0071,0.0425,-0.0169,0.0435
192609,0.0114,0.048,0.0115,-0.0339,-0.0038,0.0241,0.0021,0.0069,0.0204,0.0029
192610,-0.0124,-0.0823,-0.0363,-0.0078,-0.0458,-0.0011,-0.0229,-0.0057,-0.0263,-0.0284
192611,0.052,-0.0019,0.041,0.0001,0.0471,0.0163,0.0643,0.0542,0.0371,0.0211
192612,0.0082,0.0989,0.0374,0.0282,-0.0002,0.0199,0.0062,0.0011,-0.0017,0.0347
192701,-0.0067,-0.0092,-0.0008,0.0129,-0.0113,0.0188,-0.0255,0.0505,-0.0179,0.015
192702,0.0337,0.0891,0.0581,0.0147,0.0445,0.0397,0.0361,0.0171,0.0453,0.0505
192703,0.0273,0.0162,0.0143,-0.0601,0.0145,0.0556,-0.0041,0.0101,0.0037,0.0122
192704,0.0335,0.0315,0.0077,-0.0517,0.054,-0.0213,0.0443,0.0274,0.0171,0.0083
192705,0.0814,0.0593,0.0507,0.0482,0.0737,0.0335,0.0234,0.0412,0.0921,0.0654
192706,-0.0179,-0.03,-0.0277,-0.0316,0.0328,-0.0214,-0.0062,0.0054,-0.0357,-0.0215
192707,0.0481,0.1309,0.1207,0.0285,0.1216,0.0373,0.0984,0.0984,0.0531,0.0604
192708,0.0276,0.0698,0.0289,-0.0004,0.0571,0.0043,0.0734,0.0028,0.0343,-0.0103
192709,0.0524,0.0567,0.0476,0.0332,0.0121,0.0653,0.075,0.0565,0.0829,0.0459
192710,-0.008,-0.0438,-0.0669,-0.0204,-0.0723,-0.0209,-0.0493,0.0513,-0.0434,-0.0382
192711,0.0681,0.0639,0.1084,0.0416,0.108,0.0283,0.1167,0.0368,0.0632,0.045
192712,0.0246,0.0777,0.0308,0.0089,0.0122,0.0133,-0.0068,-0.0046,0.0224,0.0196
192801,0.0052,-0.0334,-0.0058,-0.0186,-0.0039,0.003,-0.0088,0.0269,0.0587,-0.0101
192802,-0.0417,0.0126,-0.0188,-0.0022,-0.0046,-0.003,-0.0112,-0.0138,-0.0068,-0.0202
192803,0.0439,0.2749,0.0819,0.0532,0.1942,0.0196,0.0849,0.1054,0.0662,0.0604
192804,-0.0046,0.0146,0.015,0.1512,0.0223,0.0322,0,0.0235,0.1094,0.0431
192805,0.0088,0.0565,0.0353,-0.0529,0.023,0.0661,0.0379,0.0927,0.0151,0
192806,-0.0442,-0.0408,-0.0493,-0.0407,-0.0503,-0.0522,-0.034,-0.0315,-0.0343,-0.0429
192807,0.0168,0.0094,0.0199,0.0105,0.0065,-0.0128,0.0544,0.0239,-0.0124,-0.0035
